,collocate,raw_frequency,MI
180,LUMP,1,6.33635198065448
181,EIGHT,1,5.083589012159111
182,BEGINNING,1,4.631603888416054
183,SOB,1,7.029499161214424
184,BANSHEE,1,7.72264634177437
185,HARK,1,7.72264634177437
186,FREE,1,4.58715212584522
187,ANYWHERE,1,5.930886872546315
188,AVOIDING,1,7.72264634177437
189,STUDIO,1,4.0590846956447235
190,HOSPITALITY,1,6.62403405310626
191,PRETEND,1,6.33635198065448
192,FRIENDSHIP,1,5.23773969198637
193,INTENSE,1,4.889432997718154
194,MORNING,1,3.391913001488039
195,DELIGHTS,1,7.029499161214424
196,ORDER,1,4.464549803752888
197,RESUME,1,5.776736192719056
198,UNLOCKING,1,7.72264634177437
199,STORE,1,4.50377051690617
200,MUSIC,1,3.365937515084778
201,FREEDOM,1,7.029499161214424
202,TEST,1,7.72264634177437
203,ACROSS,1,4.321448960112215
204,Y,1,7.72264634177437
205,WIND,1,4.678123904050947
206,FILLED,1,4.22613878030789
207,SITTING,1,4.464549803752888
208,CRAZILY,1,7.72264634177437
209,CARDS,1,7.72264634177437
210,HUGE,1,5.01459614067216
211,CENTRAL,1,4.58715212584522
212,YOURSELF,1,3.67959507393982
213,PARTICULAR,1,4.631603888416054
214,PAINT,1,5.525421764438151
215,LIGHT,1,2.8173715633359406
216,PEACHES,1,6.62403405310626
217,PLANTAINS,1,7.029499161214424
218,GRAPES,1,6.62403405310626
219,EVEN,1,2.773886451396202
220,ECHOED,1,7.72264634177437
221,THROUGHOUT,1,6.113208429340269
222,SHUDDERED,1,6.33635198065448
223,SHORT,1,4.58715212584522
224,PRAYING,1,7.029499161214424
225,UNCHANGED,1,7.029499161214424
226,SISTER,1,4.22613878030789
227,FIGHT,1,6.113208429340269
228,TOO,1,2.635050006541986
229,RESIDENCE,1,6.62403405310626
230,ACCURSED,1,7.72264634177437
231,HAS,1,2.18925685304685
232,BETTER,1,3.20085776472533
233,SEEK,1,4.631603888416054
234,NO,1,1.578460707648724
235,AVENGE,1,7.029499161214424
236,WINDOWS,1,5.083589012159111
237,VISITORS,1,5.776736192719056
238,MIGHT,1,2.9435228486628406
239,DOMESTICS,1,5.930886872546315
240,THEN,1,1.995798594187173
241,PLEASE,1,4.426809475770041
242,EXPERIENCED,1,4.950057619534589
243,BEYOND,1,4.950057619534589
244,MAY,1,2.935154598992324
245,EXAMINE,1,5.6432048000945345
246,WING,1,7.029499161214424
247,COMMON,1,4.726914068220379
248,FLY,1,6.33635198065448
249,WITHOUT,1,3.328197187101931
250,AID,1,6.113208429340269
251,ERROL,2,4.2886591372892235
252,SAW,2,3.38535560094188
253,SMALL,2,3.800673005493056
254,QUIET,2,5.119956656329986
255,STREET,2,5.1576969843128335
256,MAID,2,7.72264634177437
257,EVERYTHING,2,4.009074275070062
258,FELT,2,3.7244456401051718
259,ACTUALLY,2,4.5445925114264245
260,LIVE,2,4.523973224223689
261,WE,2,2.486204378944421
262,LITTLE,2,2.2234310328594433
263,T,2,2.851273115011622
264,ANY,2,3.059207247662303
265,ANOTHER,2,3.973142265843999
266,MUCH,2,3.05450135662489
267,PRIVATE,2,5.525421764438151
268,AM,2,2.8474490185732186
269,LOOKING,2,3.851445330866479
270,ROUND,2,4.196285817158209
271,MELLON,2,6.113208429340269
272,GAVE,2,3.984976723491002
273,LODGE,2,5.525421764438151
274,CLOSE,2,4.981806317849169
275,USED,2,4.338256078428596
276,MUST,2,3.12752649163978
277,PROUD,2,4.804875609690091
278,SUCH,2,3.1325897935963267
279,NEVER,2,2.9186252970411135
280,IF,2,2.231644631396832
281,TWO,2,3.5329915997479446
282,OTHER,2,3.168769450173829
283,DAWSON,2,5.0484976923478415
284,DAYS,2,4.50377051690617
285,INMATES,2,7.72264634177437
286,FARM,2,6.806355609900215
287,THEIR,2,2.8824040336067953
288,BACK,2,3.5559811179726433
289,OR,2,2.25881453674876
290,TAUGHT,2,5.850844164872779
291,SHOULD,2,3.059207247662303
292,DOWN,2,3.23400997204223
293,EMPTY,2,6.218568944998096
294,GONE,2,4.678123904050947
295,WILL,2,2.105875244107799
296,LIKE,2,2.4020783662915135
297,UNDER,2,4.2111009029433495
298,HELIOBAS,2,2.795392656617165
299,CHILD,2,3.7429646878724094
300,WHAT,2,2.203187426582797
301,TELEGRAPH,2,7.317181233666205
302,WIRE,2,6.806355609900215
303,STRETCHING,2,7.029499161214424
304,LEAVE,2,4.678123904050947
305,SERVANTS,2,4.889432997718154
306,BODY,2,4.426809475770041
307,ON,3,2.095025228083733
308,REACHED,3,5.420061248780325
309,OWN,3,3.44136127690202
310,THERE,3,2.5927476268512963
311,DOOR,3,4.355350511787896
312,MRS,3,3.8796162078331755
313,HIM,3,1.9936293959396276
314,ITS,3,3.450620602314817
315,FAR,3,4.5727633883931205
316,COULD,3,3.1479353632709874
317,ONLY,3,3.5031386365982633
318,THEM,3,2.902364776169333
319,LARGE,3,4.694124245397388
320,FOR,3,1.8467797194174345
321,OUT,3,2.989376153158963
322,COME,3,3.611772477601059
323,YOUR,3,2.588810613891957
324,SO,3,2.2392334915496535
325,JUST,3,4.04213513733095
326,GREAT,3,3.365937515084778
327,TAKE,3,4.2362911517719075
328,HOT,3,6.113208429340269
329,SOME,3,3.1208150570517934
330,WHERE,3,3.8240463566783647
331,TIME,3,3.40961257858744
332,WHICH,3,2.537124469371678
333,MYSELF,3,3.8308260436637434
334,CAN,3,3.1548319423300475
335,MORE,3,2.9186252970411135
336,WHO,4,2.902364776169333
337,BEEN,4,3.049817507312464
338,WHEN,4,2.849359238829338
339,AN,4,2.8136747014546146
340,THEY,4,2.7756610747545705
341,CASTLE,4,5.01459614067216
342,SEE,4,3.459966464733055
343,CEDRIC,4,3.984976723491002
344,QUITE,4,3.9271571526021756
345,HOUSE,4,4.846260825852945
346,WERE,4,2.811831382960325
347,BUT,4,2.368421343288037
348,ARE,4,2.7390397200660335
349,ALL,4,2.511795001007609
350,UP,5,3.497273517145865
351,DEAREST,5,5.271641243662051
352,ONE,5,2.9072152303030827
353,BE,5,2.4609929595979247
354,GO,5,4.472271849846798
355,AS,5,2.1102484289200216
356,THAT,6,1.9974285863981038
357,KEEPER,6,8.82125863044248
358,HOLD,6,6.741817088762644
359,BEFORE,7,4.284061428040594
360,NOT,7,2.6700468485790823
361,VERY,7,3.511577505244128
362,WITH,8,2.6174587307368915
363,MY,8,2.8182979181960714
364,SHE,8,3.0651209254523506
365,SAID,8,3.071069782972123
366,HER,9,3.0965847967549025
367,FROM,9,3.717335401922667
368,THIS,10,3.677842225112405
369,AT,11,3.248413513233755
370,HAD,12,3.090347488398026
371,HIS,13,2.6992720219006845
372,IS,13,3.145559124529104
373,YOU,13,2.619969607650916
374,WAS,14,2.7892006863692442
